TeamName,Total
FLA,284.10859999999997
CAR,280.6720999999994
EDM,277.7365999999999
NJD,276.90850000000034
PIT,266.41169999999994
CGY,264.65680000000015
OTT,264.5547999999997
TOR,262.12990000000025
NYR,259.87290000000013
TBL,251.50930000000017
LAK,249.40229999999988
DAL,249.3444000000003
BUF,248.89659999999984
WSH,246.4653999999996
BOS,245.0972000000003
WPG,244.86409999999972
MIN,244.83440000000002
VGK,240.2308000000003
COL,238.1839000000003
SJS,234.68210000000005
NSH,232.8930000000001
SEA,232.25550000000015
NYI,229.8985000000004
CBJ,229.04720000000015
VAN,225.48880000000045
PHI,218.40830000000017
DET,213.97989999999973
STL,213.82110000000023
MTL,209.93150000000034
ANA,209.61650000000031
ARI,201.26730000000018
CHI,196.6299999999995
